VOTERS,138198,
INVALID,2702,
PARTY,VOTES,SEATS
GRÜNE,1546887,12
CDU,1186644,10
SPD,749043,6
FDP,377480,3
AfD,606048,5
DIE LINKE,335309,3
KAL,322146,3
Die PARTEI,183083,1
FW KA e.V.,179500,1
FÜR Karlsruhe,122453,1
Team Todenhöfer,8463,0
Demokratie und Aufklärung Karlsruhe,35315,0
KAG,12546,0
Volt,351295,3
ÖDP,31066,0
